                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5262,                 4.5314,                  4.213,                0.00195,                   0.35,                0.00207,                0.00075,                 3.0842,                 4.2578,                 4.1581,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 3.4954,                 4.4334,                 4.1934,                0.00194,                   0.35,                0.00157,                0.00054,                 3.0835,                 4.2557,                 4.1559,             0.00018264,             0.00018264,             0.00018264
                      3,                  3.586,                  4.412,                 4.1574,                0.00195,                   0.35,                0.00198,                0.00077,                 3.0831,                 4.2512,                 4.1522,             0.00028115,             0.00028115,             0.00028115
                      4,                 3.4765,                 4.1223,                 4.1438,                0.00192,                   0.35,                0.00235,                0.00087,                 3.0847,                 4.2389,                 4.1465,             0.00037886,             0.00037886,             0.00037886
                      5,                 3.4007,                 3.9945,                 4.1066,                0.00193,                   0.35,                0.00208,                0.00069,                 3.1023,                 4.1955,                 4.1379,             0.00047577,             0.00047577,             0.00047577
                      6,                 3.3078,                 3.9405,                 4.0243,                0.00192,                   0.35,                 0.0022,                0.00087,                 3.1127,                 4.1487,                 4.1236,              0.0005719,              0.0005719,              0.0005719
                      7,                 3.2473,                 3.5067,                 3.9059,                0.00194,                   0.35,                0.00212,                0.00071,                 3.1117,                 4.1262,                 4.1132,             0.00066723,             0.00066723,             0.00066723
                      8,                 3.2244,                 3.5564,                 3.7202,                0.00197,                   0.35,                0.00215,                0.00082,                 3.1173,                 4.0995,                 4.1078,             0.00076177,             0.00076177,             0.00076177
                      9,                 3.2953,                 3.4149,                 3.6749,                0.00197,                   0.35,                0.00219,                0.00083,                 3.1316,                 4.0721,                 4.1002,             0.00085552,             0.00085552,             0.00085552
                     10,                  3.188,                 3.3968,                  3.511,                0.00195,                   0.35,                0.00212,                0.00081,                 3.1363,                 4.1224,                 4.1142,             0.00094848,             0.00094848,             0.00094848
                     11,                 3.0289,                 3.3757,                 3.3792,                0.00197,                   0.35,                0.00218,                 0.0008,                 3.1178,                 4.2045,                 4.1183,              0.0010406,              0.0010406,              0.0010406
                     12,                 2.9748,                 3.2031,                 3.3321,                0.00197,                   0.35,                0.00215,                0.00086,                 3.0919,                 4.1747,                 4.1081,               0.001132,               0.001132,               0.001132
                     13,                 2.9685,                 3.2054,                 3.2184,                0.00176,                   0.25,                0.00161,                0.00044,                 3.0304,                 4.2822,                 4.1549,              0.0012226,              0.0012226,              0.0012226
                     14,                 2.9375,                 3.2969,                 3.2168,                0.00335,                   0.35,                0.00264,                 0.0008,                 2.9375,                 4.2544,                 4.1013,              0.0013124,              0.0013124,              0.0013124
                     15,                 2.7248,                 3.2714,                 3.1243,                0.00408,                   0.45,                0.00539,                 0.0012,                  2.888,                 4.1774,                 4.0384,              0.0014014,              0.0014014,              0.0014014
                     16,                 2.6678,                 3.1605,                  3.018,                0.00578,                   0.45,                 0.0059,                0.00133,                 2.8004,                 4.1768,                 4.0499,              0.0014896,              0.0014896,              0.0014896
                     17,                 2.5373,                 2.9554,                  2.844,                0.00649,                   0.55,                0.05013,                0.00607,                  2.714,                 3.8617,                 3.7503,              0.0015614,              0.0015614,              0.0015614
                     18,                  2.605,                 3.1526,                 2.9521,                      1,                0.14855,                0.22705,                0.06591,                 2.4489,                 3.2122,                 3.1105,              0.0015548,              0.0015548,              0.0015548
                     19,                 2.6027,                 3.1069,                 2.9297,                0.73031,                   0.15,                0.23157,                0.08891,                 2.3032,                 4.8106,                   2.75,              0.0015482,              0.0015482,              0.0015482
                     20,                 2.5738,                 2.9447,                 2.8569,                0.12093,                    0.1,                0.10926,                0.04053,                 2.3769,                 3.2862,                 2.7651,              0.0015416,              0.0015416,              0.0015416
                     21,                 2.4545,                 2.8784,                 2.7926,                0.14596,                  0.325,                0.19469,                0.08807,                 2.3447,                 3.8741,                 2.7533,               0.001535,               0.001535,               0.001535
                     22,                  2.395,                 2.8761,                 2.6974,                0.84235,                    0.1,                0.15604,                0.07617,                 2.7435,                 4.3626,                 3.2843,              0.0015284,              0.0015284,              0.0015284
                     23,                 2.5153,                 2.6994,                 2.7591,                0.72836,                0.12836,                0.17998,                0.07915,                 2.6916,                  3.196,                 3.2165,              0.0015218,              0.0015218,              0.0015218
                     24,                 2.5826,                 2.7866,                 2.9357,                0.87729,                    0.1,                0.19724,                0.07172,                 2.5319,                 3.1557,                 3.0879,              0.0015152,              0.0015152,              0.0015152
                     25,                 2.4324,                 2.6864,                 2.7174,                 0.9603,                   0.15,                 0.1932,                0.11085,                 1.9887,                 3.6531,                 2.5183,              0.0015086,              0.0015086,              0.0015086
                     26,                 2.3114,                 2.6873,                 2.6715,                0.87062,                   0.15,                0.20797,                0.12678,                  1.921,                 3.8893,                 2.5786,               0.001502,               0.001502,               0.001502
                     27,                 2.3793,                 2.5023,                 2.6096,                0.69337,                0.39782,                  0.489,                0.21921,                 1.9153,                 2.5792,                 2.5082,              0.0014954,              0.0014954,              0.0014954
                     28,                 2.2672,                 2.3458,                 2.5126,                 0.2807,                    0.2,                0.31789,                0.15708,                 1.6868,                 2.6764,                 2.3099,              0.0014888,              0.0014888,              0.0014888
                     29,                 2.3744,                 2.4801,                 2.6156,                0.93532,                   0.15,                0.20142,                0.12787,                   2.09,                  3.198,                 2.7347,              0.0014822,              0.0014822,              0.0014822
                     30,                 2.2813,                 2.3679,                 2.5559,                0.89927,                0.19853,                0.29883,                0.14223,                 1.9567,                 2.6395,                 2.4899,              0.0014756,              0.0014756,              0.0014756
                     31,                 2.2808,                 2.3395,                 2.5097,                0.06289,                   0.25,                0.24673,                0.12766,                 2.1129,                 3.6243,                 2.9474,               0.001469,               0.001469,               0.001469
                     32,                 2.0971,                 2.1677,                 2.4437,                0.35745,                    0.5,                0.38409,                0.22367,                 1.8131,                  2.103,                 2.3023,              0.0014624,              0.0014624,              0.0014624
